Virtual Object,Physical Object,Virtual Object Snapshot Description,Physical Object Snapshot Description,Virtual Object BBOX-Length,Virtual Object BBOX-Width,Virtual Object BBOX-Height,Virtual Object Interaction Activity,Physical Object Utilization Method,Inertia,Interactivity,Outline,Texture,Hardness,Temperature,,,
Double Slider,Ergonomic Chair,"Picture a miniature lever switch measuring roughly 21 cm long, 20 cm wide, and 13 cm tall. Two parallel, white rectangular bases—each the size of a thick stick of chalk—sit 12 cm apart and form a shallow trough, their tops cut with slot-shaped recesses that guide the mechanism. Rising from each slot is a slender, matte-black metal post (about 1 cm square in cross-section) that supports a glossy, crimson cylinder 10 cm long and 2 cm in diameter; this rod lies horizontally like a tiny barbell without end weights. The red rod’s lacquered surface feels slick and cool at first touch, warming swiftly, while the posts remain colder and gritty from their powder-coated texture. The white bases, molded from dense polymer, present a satin finish that offers mild grip and emit a dull thunk when tapped, betraying their rigidity; no part visibly flexes under normal hand force. Overall hardness is high, with only the unseen pivot joint introducing elastic movement. All materials equilibrate to room temperature quickly, so thermal surprises fade after brief contact.","The chair stands as a tall-profile, five-star office swivel roughly 120 cm high (seat mid-range), 65 cm wide, and 65 cm deep: a chrome-plated steel spider base splays outward into five 30 cm limbs tipped with twin-wheel casters, keeping most of the 16 kg mass low so inertia resists tipping yet allows effortless roll across hard floors. Rising from the gas-lift column, a waterfall-edged seat pan—7 cm of medium-density foam wrapped in matte black knit—feels springy under hand, compressing to half thickness before rebounding silent and smooth. Above, an airy backrest forms a slender, slightly concave rectangle of taut polyester mesh framed by ABS; the mesh’s fine grid flexes a fingerbreadth then pushes back, cool to the touch and ventilating heat away from a sitter’s spine. A lumbar bar glides up or down with light thumb force, while the entire back tilts on a tension knob, yielding in a buttery arc and returning under coil-spring pull. Two armrests ride telescopic pillars—up/down 8 cm, slide fore/aft 4 cm—capped with soft-touch PU pads that invite elbows with suede-like drag yet mask warmth quickly. Capping the silhouette, a curved mesh headrest swivels and height-adjusts, its rim firm plastic that stays room-cool longer than the fabric. Overall hardness varies: metal base and chassis are rigid and cold, plastic components slightly forgiving, fabrics comfortably pliant, together creating a responsive, temperature-neutral workstation throne.",21,20,13,This virtual double slider serves as a mechanical control interface.,Grip one armrest post and roll the chair a short distance fore and aft.,5,5,3,3,2,3,,,
Hammer,Ergonomic Chair,"Picture a compact, dual-purpose hammer about 38 cm long: a 8 × 8 × 19 cm rectangular steel head crowns one end of a 30 cm cylindrical shaft that finishes in a 4 cm-wide, puck-shaped counterweight grip. Mass centers in the head—roughly 700 g of forged steel—so the tool swings with authoritative inertia, amplifying each wrist flick yet remaining nimble for controlled taps. One striking face is smooth and mirror-flat for nails, while the opposite face is diced into a 4 × 4 waffle of 6 mm-deep pyramidal teeth, ideal for texturing metal or tenderizing meat; raking a fingertip across these serrations produces a raspy, almost zipper-like buzz. The shaft, also steel but lacquered gunmetal gray, feels cool and slick, though a faint satin coating grants minimal grip; the terminal disk acts as a palm stop, its edges softly chamfered to spare blisters. Under pressure, nothing yields—the entire body rings with high hardness, emitting a sharp ping if tapped against concrete. Surface textures shift from the head’s cold, glassy planes to the shaft’s silky matte and finally the end-cap’s slightly rougher lathe lines, offering sensory cues for hand placement even in low light. Thermal conduction is high: moments after grasping, your warmth spreads along the handle, yet the head stays noticeably cooler thanks to its bulk dissipating heat. Interactivity is straightforward—swing, strike, flip for the toothed side—but the balanced geometry encourages comfortable rhythmic work without wrist fatigue.","The chair stands as a tall-profile, five-star office swivel roughly 120 cm high (seat mid-range), 65 cm wide, and 65 cm deep: a chrome-plated steel spider base splays outward into five 30 cm limbs tipped with twin-wheel casters, keeping most of the 16 kg mass low so inertia resists tipping yet allows effortless roll across hard floors. Rising from the gas-lift column, a waterfall-edged seat pan—7 cm of medium-density foam wrapped in matte black knit—feels springy under hand, compressing to half thickness before rebounding silent and smooth. Above, an airy backrest forms a slender, slightly concave rectangle of taut polyester mesh framed by ABS; the mesh’s fine grid flexes a fingerbreadth then pushes back, cool to the touch and ventilating heat away from a sitter’s spine. A lumbar bar glides up or down with light thumb force, while the entire back tilts on a tension knob, yielding in a buttery arc and returning under coil-spring pull. Two armrests ride telescopic pillars—up/down 8 cm, slide fore/aft 4 cm—capped with soft-touch PU pads that invite elbows with suede-like drag yet mask warmth quickly. Capping the silhouette, a curved mesh headrest swivels and height-adjusts, its rim firm plastic that stays room-cool longer than the fabric. Overall hardness varies: metal base and chassis are rigid and cold, plastic components slightly forgiving, fabrics comfortably pliant, together creating a responsive, temperature-neutral workstation throne.",38,19,8,Striking and smashing objects,Grasp one armrest firmly as a handle.,1,1,1,2,5,3,,,
Red Button,Ergonomic Chair,"A squat, circular push-button stands before you: overall diameter about 15 cm, height 6 cm, with a candy-apple-red cylinder (8 cm tall) perched centrally on a matte black puck-shaped base that flares outward like a shallow doughnut. Pressing the red cap yields 4 cm of spring-guided travel; resistance ramps smoothly, peaks with a crisp tactile “snap,” then rebounds instantly, inviting rapid, rhythmic taps. The cap’s surface is glossy polycarbonate: finger-pads glide effortlessly across its cool, glassy skin, and a light knock returns a hollow, plasticky clack, betraying an air gap beneath. The black base, molded from ABS with a satin micro-texture, feels slightly grippier and warmer to the touch, diffusing temperature changes more slowly than the cap. Both parts are rigid, resisting deformation under normal finger pressure; only the internal metal spring and plastic guide rails flex, storing elastic energy for the button’s return. Thermally, the plastics acclimate quickly to room conditions, so the first contact draws a whisper of heat from skin but stabilizes within seconds, leaving it neither chilling nor warming.","The chair stands as a tall-profile, five-star office swivel roughly 120 cm high (seat mid-range), 65 cm wide, and 65 cm deep: a chrome-plated steel spider base splays outward into five 30 cm limbs tipped with twin-wheel casters, keeping most of the 16 kg mass low so inertia resists tipping yet allows effortless roll across hard floors. Rising from the gas-lift column, a waterfall-edged seat pan—7 cm of medium-density foam wrapped in matte black knit—feels springy under hand, compressing to half thickness before rebounding silent and smooth. Above, an airy backrest forms a slender, slightly concave rectangle of taut polyester mesh framed by ABS; the mesh’s fine grid flexes a fingerbreadth then pushes back, cool to the touch and ventilating heat away from a sitter’s spine. A lumbar bar glides up or down with light thumb force, while the entire back tilts on a tension knob, yielding in a buttery arc and returning under coil-spring pull. Two armrests ride telescopic pillars—up/down 8 cm, slide fore/aft 4 cm—capped with soft-touch PU pads that invite elbows with suede-like drag yet mask warmth quickly. Capping the silhouette, a curved mesh headrest swivels and height-adjusts, its rim firm plastic that stays room-cool longer than the fabric. Overall hardness varies: metal base and chassis are rigid and cold, plastic components slightly forgiving, fabrics comfortably pliant, together creating a responsive, temperature-neutral workstation throne.",15,15,6,Pressing the button to trigger critical actions,Simply jab the padded armrest top.,2,2,4,3,3,4,,,
Party Balloon,Ergonomic Chair,"A trio of helium-filled party balloons hovers as a loose bouquet: a glossy royal-blue disc 30 cm wide and only 12 cm thick, a classic green latex sphere 28 cm in diameter, and a light-teal pillow that forms a soft diamond prism about 32 × 25 × 12 cm; each is moored by a thin black ribbon 80 cm long that curls gently downward. Inertia is negligible—tapping any envelope makes it skid through the air like a soap bubble while its tether drags lazily behind—yet the collective buoyancy constantly tugs upward, so the bundle feels weightless except for the faint pull of the strings against your fingers. Interactivity is playful: squeezing the blue or teal shapes wrinkles their aluminized Mylar skins with a crinkly crackle, while a firm pinch on the green sphere depresses the stretchy latex wall and then springs back smoothly. Surfaces differ: the foil balloons are mirror-slick and slightly cool, their seams forming fine ridges; the latex one is satin-matte with minute powdery specks that add subtle grip. All three are soft and compliant, yielding easily under modest pressure yet resisting puncture because internal gas pressure stiffens their skins; hardness is thus low but elastic. Temperature wise, the thin films conduct heat poorly, so they start cool and quickly match body warmth where touched, while shaded portions feel a whisper cooler due to helium’s rapid heat loss to ambient air.","The chair stands as a tall-profile, five-star office swivel roughly 120 cm high (seat mid-range), 65 cm wide, and 65 cm deep: a chrome-plated steel spider base splays outward into five 30 cm limbs tipped with twin-wheel casters, keeping most of the 16 kg mass low so inertia resists tipping yet allows effortless roll across hard floors. Rising from the gas-lift column, a waterfall-edged seat pan—7 cm of medium-density foam wrapped in matte black knit—feels springy under hand, compressing to half thickness before rebounding silent and smooth. Above, an airy backrest forms a slender, slightly concave rectangle of taut polyester mesh framed by ABS; the mesh’s fine grid flexes a fingerbreadth then pushes back, cool to the touch and ventilating heat away from a sitter’s spine. A lumbar bar glides up or down with light thumb force, while the entire back tilts on a tension knob, yielding in a buttery arc and returning under coil-spring pull. Two armrests ride telescopic pillars—up/down 8 cm, slide fore/aft 4 cm—capped with soft-touch PU pads that invite elbows with suede-like drag yet mask warmth quickly. Capping the silhouette, a curved mesh headrest swivels and height-adjusts, its rim firm plastic that stays room-cool longer than the fabric. Overall hardness varies: metal base and chassis are rigid and cold, plastic components slightly forgiving, fabrics comfortably pliant, together creating a responsive, temperature-neutral workstation throne.",133,124,173,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,"Stand beside the chair and gently push its mesh backrest; the flexible mesh and rolling casters let it glide and spring, echoing a balloon’s slow float away after contact. ",3,6,5,2,5,5,,,
Pot Plant,Ergonomic Chair,"An earthenware houseplant ensemble stands roughly 40 cm tall: a tapered, reddish-brown terracotta pot (about 14 cm high, 16 cm rim diameter) nests in a shallow matching saucer and holds a lush umbrella-plant whose green canopy balloons outward to a 43 cm circle. Weight is bottom-loaded—the dense clay and moist soil supply the bulk 1–1.5 kg mass—so the center of gravity rides low; nudging a stem makes foliage sway while the pot itself clings stubbornly to a table unless lifted with two hands. Interaction ranges from firm to fragile: palm the pot’s rim and you feel gritty, cool ceramic that rings when tapped; pinch a leaflet and it bends like thin rubber, springing back with no mark, whereas squeezing the main stem yields faint flex before its fibrous core resists. Each leaf forms an 8-part radial rosette, leaflets 6–8 cm long, smooth, slightly wax-glossy, and faintly cool thanks to water transpiration; a gentle stroke reveals subtle mid-vein ridges and a barely tacky natural cuticle. Soil texture beneath the upper crumbly layer turns damp and loamy if probed, compressing softly around a fingertip. Hardness varies sharply—brittle pot walls versus pliant vegetation—yet nothing deforms permanently under ordinary care. Thermally, the clay starts cool, slowly adopting room warmth, while living tissues remain a few degrees cooler via evaporation, lending the whole arrangement a fresh, lightly humid micro-climate when approached.","The chair stands as a tall-profile, five-star office swivel roughly 120 cm high (seat mid-range), 65 cm wide, and 65 cm deep: a chrome-plated steel spider base splays outward into five 30 cm limbs tipped with twin-wheel casters, keeping most of the 16 kg mass low so inertia resists tipping yet allows effortless roll across hard floors. Rising from the gas-lift column, a waterfall-edged seat pan—7 cm of medium-density foam wrapped in matte black knit—feels springy under hand, compressing to half thickness before rebounding silent and smooth. Above, an airy backrest forms a slender, slightly concave rectangle of taut polyester mesh framed by ABS; the mesh’s fine grid flexes a fingerbreadth then pushes back, cool to the touch and ventilating heat away from a sitter’s spine. A lumbar bar glides up or down with light thumb force, while the entire back tilts on a tension knob, yielding in a buttery arc and returning under coil-spring pull. Two armrests ride telescopic pillars—up/down 8 cm, slide fore/aft 4 cm—capped with soft-touch PU pads that invite elbows with suede-like drag yet mask warmth quickly. Capping the silhouette, a curved mesh headrest swivels and height-adjusts, its rim firm plastic that stays room-cool longer than the fabric. Overall hardness varies: metal base and chassis are rigid and cold, plastic components slightly forgiving, fabrics comfortably pliant, together creating a responsive, temperature-neutral workstation throne.",43,45,39,VR players would run their hands along the leaves for stress relief.,"Stand beside chair and pass hands over the mesh backrest; the tensioned fabric yields slightly then springs back, similar to flexible foliage surfaces. ",4,4,2,4,4,3,,,
Soccer,Ergonomic Chair,"A regulation-size football forms a perfect 22 cm-diameter sphere stitched from 32 synthetic-leather panels—12 black pentagons alternating with 20 charcoal-gray hexagons—so its outline is a subtly faceted truncated-icosahedron smoothed by internal air pressure. Weighing roughly 430 g, it carries enough inertia that a flick of the wrist barely budges it, yet a solid instep kick sends it rocketing as its mass stores and releases kinetic energy cleanly. Pressing both thumbs into the surface yields about 4 mm of elastic give before a rebounding push, the butyl bladder and 0.8 bar inflation stiffening the shell while still absorbing shock; drop it and the ball bounces to knee height, resonating with a hollow thump. Each panel’s exterior is micro-pebbled: tiny raised grains offer tactile grip and faint rasping when rubbed, while the seams form slight ridges of waxed polyester thread you can track like latitude lines. The outer skin feels cool and faintly rubbery at first contact, warming quickly yet never conducting heat aggressively, whereas the internal air acts as an insulator, so the ball maintains ambient temperature. Overall hardness is firm but forgiving—rigid enough for crisp rebounds, supple enough to avoid bruising a forehead during a header.","The chair stands as a tall-profile, five-star office swivel roughly 120 cm high (seat mid-range), 65 cm wide, and 65 cm deep: a chrome-plated steel spider base splays outward into five 30 cm limbs tipped with twin-wheel casters, keeping most of the 16 kg mass low so inertia resists tipping yet allows effortless roll across hard floors. Rising from the gas-lift column, a waterfall-edged seat pan—7 cm of medium-density foam wrapped in matte black knit—feels springy under hand, compressing to half thickness before rebounding silent and smooth. Above, an airy backrest forms a slender, slightly concave rectangle of taut polyester mesh framed by ABS; the mesh’s fine grid flexes a fingerbreadth then pushes back, cool to the touch and ventilating heat away from a sitter’s spine. A lumbar bar glides up or down with light thumb force, while the entire back tilts on a tension knob, yielding in a buttery arc and returning under coil-spring pull. Two armrests ride telescopic pillars—up/down 8 cm, slide fore/aft 4 cm—capped with soft-touch PU pads that invite elbows with suede-like drag yet mask warmth quickly. Capping the silhouette, a curved mesh headrest swivels and height-adjusts, its rim firm plastic that stays room-cool longer than the fabric. Overall hardness varies: metal base and chassis are rigid and cold, plastic components slightly forgiving, fabrics comfortably pliant, together creating a responsive, temperature-neutral workstation throne.",20,20,20,This soccer ball would be used for training exercises. VR players would primarily kick the ball for practicing penalties,Lay the chair on its side. Using the chair’s padded seat as a striking surface.,2,3,4,4,5,4,,,
Keyboard,Ergonomic Chair,"An electronic keyboard—roughly 118 cm long, 30 cm deep, and 10 cm thick—rests atop a matte-black steel X-stand whose crossed legs meet at a central hinge and spread to a 70 cm footprint; the whole assembly weighs about 11 kg, so it resists casual knocks yet can be lifted with one arm, the bulk concentrated where the key-bed sits. The outline is a slim, rectangular slab with softly filleted corners; its front edge hosts 61 plastic keys in alternating glossy white and satin charcoal, while the rear left corner carries a rectangular speaker grille and a row of five yellow membrane buttons embedded in a red recess. Pressing a key depresses it 9 mm with light, springy resistance, triggering a quiet mechanical click and an immediate synthesized tone—velocity sensors reward harder strikes with louder output. The key tops feel smooth and slightly cool, gaining fingertip warmth after minutes, whereas the chassis surface is textured ABS: faintly grainy, grippier, and warmer to the touch. The steel legs are rigid, cold, and powder-coated; tapping them produces a sharp metallic ping while they deflect only a millimeter under lateral force, quickly returning thanks to their high modulus. Rubber end caps on both stand and keyboard underside damp micro-vibrations and prevent drift on polished floors. Thermal behavior is stratified: metal legs stay coolest, keys equilibrate quickest, and the plastic shell lingers near room temperature, ensuring prolonged playing comfort without unexpected temperature shocks.","The chair stands as a tall-profile, five-star office swivel roughly 120 cm high (seat mid-range), 65 cm wide, and 65 cm deep: a chrome-plated steel spider base splays outward into five 30 cm limbs tipped with twin-wheel casters, keeping most of the 16 kg mass low so inertia resists tipping yet allows effortless roll across hard floors. Rising from the gas-lift column, a waterfall-edged seat pan—7 cm of medium-density foam wrapped in matte black knit—feels springy under hand, compressing to half thickness before rebounding silent and smooth. Above, an airy backrest forms a slender, slightly concave rectangle of taut polyester mesh framed by ABS; the mesh’s fine grid flexes a fingerbreadth then pushes back, cool to the touch and ventilating heat away from a sitter’s spine. A lumbar bar glides up or down with light thumb force, while the entire back tilts on a tension knob, yielding in a buttery arc and returning under coil-spring pull. Two armrests ride telescopic pillars—up/down 8 cm, slide fore/aft 4 cm—capped with soft-touch PU pads that invite elbows with suede-like drag yet mask warmth quickly. Capping the silhouette, a curved mesh headrest swivels and height-adjusts, its rim firm plastic that stays room-cool longer than the fabric. Overall hardness varies: metal base and chassis are rigid and cold, plastic components slightly forgiving, fabrics comfortably pliant, together creating a responsive, temperature-neutral workstation throne.",118,33,93,VR players would press series of piano keys to generate musical notes.,"Tap the plastic height-adjust buttons on the armrests; each depresses several millimeters and springs back, offering per-key actuation feel. ",6,5,2,3,5,4,,,
Chest,Portable Stapler,"The object is a compact, rectangular chest—roughly the size of a shoebox—built on a sturdy wooden frame whose mass gives it a comforting heft; lifting it with one hand feels equivalent to raising a thick hardcover novel, so its inertia resists sudden motion but is far from immovable. A hinged lid spans the top, bordered by beveled hardwood rails; a shallow brass handle on the front invites the user to pull the lid upward, the hinges offering smooth, quiet resistance before settling open at a firm stop. All broad faces are inset with a maroon, leather-textured panel veined by faint, organic mottling, delivering a soft drag beneath the fingertips that contrasts with the hardwood’s satin slickness. Brass corner feet and edge strips impart crisp hardness—unyielding under pressure—and emit a cool touch that rapidly wicks warmth from skin, whereas the wood and faux leather feel neutral, retaining ambient temperature. Overall rigidity is high; pressing on any surface yields no flex, signaling solid joinery, and knocking produces a sharp, resonant thunk characteristic of dense, well-dried timber.","The stapler is a pocket-sized, two-bar lever about 8 cm long, 2 cm wide, and 2 cm thick at rest, forming a slim oblong that hinges open like a miniature book set on its spine; both bars are clad in off-white ABS whose satin skin feels dry, finely grained, and ever-so-slightly warm after a few seconds in hand. Its 60 g mass centers in the nose where a nickel-plated steel anvil and magazine lie, so the tool naturally tips forward unless fingers cradle the rear—this front-loaded inertia adds punch when the upper arm is pressed. Squeeze the top bar downward and a light spring yields with a crisp 1 cm travel, then snaps a staple through paper and folds it against the anvil, the action finishing with a metallic “clack” and a gentle rebound that parks the handle again. Edge seams are smoothed yet palpable to the nail; the underside is open, exposing a cool, mirror-bright steel bed whose hardness contrasts with the ABS’s mild flex under firm thumb pressure. Fresh from a desk drawer, metal surfaces feel cool while the plastic reaches room temperature quickly, never clammy.",28,20,16,Players would open the lid to reveal storage space for holding items.,Place one hand on the stapler’s base (chest body) and grasp the top lever as the lid. Rotate the lever upward on its hinge.,3,5,2,4,5,6,,,
Dropper,Portable Stapler,"A slender laboratory dropper stands about 12 cm tall: a crystal-clear borosilicate glass tube 10 cm long and roughly 8 mm in external diameter narrows gradually to a 1 mm capillary tip, while its opposite end disappears 1 cm into a deep-maroon rubber bulb that swells to 25 mm at its fattest point before tapering like a small pear. Mass is minimal—scarcely 10 g—so inertia is negligible; the glass shaft supplies most of the weight, giving the instrument a faintly bottom-heavy feel that steadies the tip when you guide it over a vial. Interaction is direct: pinching the bulb’s pillowy sidewalls collapses them with soft resistance, expelling air; releasing allows the elastic latex to rebound, drawing liquid up the tube, and a second squeeze dispenses droplets with precise, staccato pulses. The bulb’s surface is matte, faintly tacky, and yields a subtle squeak beneath a dry thumb, whereas the glass feels icy-smooth and slick, letting fingers glide without drag. Hardness contrasts sharply: the rubber deforms readily under light pressure, while the glass remains rigid and brittle, chiming if tapped with a fingernail. Thermal behavior echoes this divide; the thin glass chills skin at first contact and equalizes quickly to ambient temperature, whereas the thicker rubber insulates, staying slightly warmer and dampening sudden heat exchange.","The stapler is a pocket-sized, two-bar lever about 8 cm long, 2 cm wide, and 2 cm thick at rest, forming a slim oblong that hinges open like a miniature book set on its spine; both bars are clad in off-white ABS whose satin skin feels dry, finely grained, and ever-so-slightly warm after a few seconds in hand. Its 60 g mass centers in the nose where a nickel-plated steel anvil and magazine lie, so the tool naturally tips forward unless fingers cradle the rear—this front-loaded inertia adds punch when the upper arm is pressed. Squeeze the top bar downward and a light spring yields with a crisp 1 cm travel, then snaps a staple through paper and folds it against the anvil, the action finishing with a metallic “clack” and a gentle rebound that parks the handle again. Edge seams are smoothed yet palpable to the nail; the underside is open, exposing a cool, mirror-bright steel bed whose hardness contrasts with the ABS’s mild flex under firm thumb pressure. Fresh from a desk drawer, metal surfaces feel cool while the plastic reaches room temperature quickly, never clammy.",1,1,12,This dropper would be used for liquid dispensing.,Pinch the jaws with index and thumb and press the top plastic arm down. The spring-loaded resistance and automatic return convincingly replicate the squeeze and release of a dropper bulb.,5,5,3,4,3,3,,,
Steering Wheel,Portable Stapler,"A circular steering wheel, about 35 cm in outer diameter and 3 cm thick at the rim, forms a hollow aluminum ring sheathed in matte-black polyurethane that feels rubbery yet faintly grainy, providing sure grip even to a sweaty palm. Three slender, sun-yellow alloy spokes—each a 1.5 cm-wide flat bar—radiate at 120-degree intervals from a 6 cm-wide cylindrical hub sleeve that accepts the steering column; this tri-spoke layout concentrates roughly 1.2 kg of total mass near the center, so inertia is moderate: once you start a turn the wheel coasts a few extra degrees before the power-assisted rack’s friction slows it. Interactivity is smooth and elastic—twisting the rim compresses the polymer skin a millimeter before the rigid metal core arrests further flex, and letting go allows the wheel to self-center under column torque. Outline clarity is crisp: a perfect ring interrupted only where the spokes taper into the hub, leaving large open triangles that invite finger threading. Texture transitions from the rim’s soft, micro-pebbled coat to the spokes’ satin anodized metal, cool and slick, while the hub is knurled slightly for torque transfer. Hardness ranges from the rim’s forgiving outer shell (shore A ≈ 85) to the spokes’ unyielding aluminum. Thermally, metal segments remain coolest and quickly wick away fingertip heat; the polymer warms appreciably during prolonged driving, yielding a comfortably neutral temperature profile.","The stapler is a pocket-sized, two-bar lever about 8 cm long, 2 cm wide, and 2 cm thick at rest, forming a slim oblong that hinges open like a miniature book set on its spine; both bars are clad in off-white ABS whose satin skin feels dry, finely grained, and ever-so-slightly warm after a few seconds in hand. Its 60 g mass centers in the nose where a nickel-plated steel anvil and magazine lie, so the tool naturally tips forward unless fingers cradle the rear—this front-loaded inertia adds punch when the upper arm is pressed. Squeeze the top bar downward and a light spring yields with a crisp 1 cm travel, then snaps a staple through paper and folds it against the anvil, the action finishing with a metallic “clack” and a gentle rebound that parks the handle again. Edge seams are smoothed yet palpable to the nail; the underside is open, exposing a cool, mirror-bright steel bed whose hardness contrasts with the ABS’s mild flex under firm thumb pressure. Fresh from a desk drawer, metal surfaces feel cool while the plastic reaches room temperature quickly, never clammy.",35,35,31,This steering wheel would be used for vehicle navigation.,"Open the stapler to its widest angle, grip one half in each hand, and use the hinge as a pivot to rotate the halves like steering spokes. ",2,2,1,3,5,3,,,
Double Slider,Portable Stapler,"Picture a miniature lever switch measuring roughly 21 cm long, 20 cm wide, and 13 cm tall. Two parallel, white rectangular bases—each the size of a thick stick of chalk—sit 12 cm apart and form a shallow trough, their tops cut with slot-shaped recesses that guide the mechanism. Rising from each slot is a slender, matte-black metal post (about 1 cm square in cross-section) that supports a glossy, crimson cylinder 10 cm long and 2 cm in diameter; this rod lies horizontally like a tiny barbell without end weights. The red rod’s lacquered surface feels slick and cool at first touch, warming swiftly, while the posts remain colder and gritty from their powder-coated texture. The white bases, molded from dense polymer, present a satin finish that offers mild grip and emit a dull thunk when tapped, betraying their rigidity; no part visibly flexes under normal hand force. Overall hardness is high, with only the unseen pivot joint introducing elastic movement. All materials equilibrate to room temperature quickly, so thermal surprises fade after brief contact.","The stapler is a pocket-sized, two-bar lever about 8 cm long, 2 cm wide, and 2 cm thick at rest, forming a slim oblong that hinges open like a miniature book set on its spine; both bars are clad in off-white ABS whose satin skin feels dry, finely grained, and ever-so-slightly warm after a few seconds in hand. Its 60 g mass centers in the nose where a nickel-plated steel anvil and magazine lie, so the tool naturally tips forward unless fingers cradle the rear—this front-loaded inertia adds punch when the upper arm is pressed. Squeeze the top bar downward and a light spring yields with a crisp 1 cm travel, then snaps a staple through paper and folds it against the anvil, the action finishing with a metallic “clack” and a gentle rebound that parks the handle again. Edge seams are smoothed yet palpable to the nail; the underside is open, exposing a cool, mirror-bright steel bed whose hardness contrasts with the ABS’s mild flex under firm thumb pressure. Fresh from a desk drawer, metal surfaces feel cool while the plastic reaches room temperature quickly, never clammy.",21,20,13,This virtual double slider serves as a mechanical control interface.,Hold the stapler by its long upper arm (treat it as the slider handle) and slide the stapler body forward/backward along the desktop. ,3,5,4,4,5,4,,,
Hammer,Portable Stapler,"Picture a compact, dual-purpose hammer about 38 cm long: a 8 × 8 × 19 cm rectangular steel head crowns one end of a 30 cm cylindrical shaft that finishes in a 4 cm-wide, puck-shaped counterweight grip. Mass centers in the head—roughly 700 g of forged steel—so the tool swings with authoritative inertia, amplifying each wrist flick yet remaining nimble for controlled taps. One striking face is smooth and mirror-flat for nails, while the opposite face is diced into a 4 × 4 waffle of 6 mm-deep pyramidal teeth, ideal for texturing metal or tenderizing meat; raking a fingertip across these serrations produces a raspy, almost zipper-like buzz. The shaft, also steel but lacquered gunmetal gray, feels cool and slick, though a faint satin coating grants minimal grip; the terminal disk acts as a palm stop, its edges softly chamfered to spare blisters. Under pressure, nothing yields—the entire body rings with high hardness, emitting a sharp ping if tapped against concrete. Surface textures shift from the head’s cold, glassy planes to the shaft’s silky matte and finally the end-cap’s slightly rougher lathe lines, offering sensory cues for hand placement even in low light. Thermal conduction is high: moments after grasping, your warmth spreads along the handle, yet the head stays noticeably cooler thanks to its bulk dissipating heat. Interactivity is straightforward—swing, strike, flip for the toothed side—but the balanced geometry encourages comfortable rhythmic work without wrist fatigue.","The stapler is a pocket-sized, two-bar lever about 8 cm long, 2 cm wide, and 2 cm thick at rest, forming a slim oblong that hinges open like a miniature book set on its spine; both bars are clad in off-white ABS whose satin skin feels dry, finely grained, and ever-so-slightly warm after a few seconds in hand. Its 60 g mass centers in the nose where a nickel-plated steel anvil and magazine lie, so the tool naturally tips forward unless fingers cradle the rear—this front-loaded inertia adds punch when the upper arm is pressed. Squeeze the top bar downward and a light spring yields with a crisp 1 cm travel, then snaps a staple through paper and folds it against the anvil, the action finishing with a metallic “clack” and a gentle rebound that parks the handle again. Edge seams are smoothed yet palpable to the nail; the underside is open, exposing a cool, mirror-bright steel bed whose hardness contrasts with the ABS’s mild flex under firm thumb pressure. Fresh from a desk drawer, metal surfaces feel cool while the plastic reaches room temperature quickly, never clammy.",38,19,8,Striking and smashing objects,"Hold the back end of the stapler as a handle and let the metal jaw end act as the hammer face; a quick downward flick produces a crisp, localized strike and small vibration echoing into your palm.",2,4,2,5,5,5,,,
Red Button,Portable Stapler,"A squat, circular push-button stands before you: overall diameter about 15 cm, height 6 cm, with a candy-apple-red cylinder (8 cm tall) perched centrally on a matte black puck-shaped base that flares outward like a shallow doughnut. Pressing the red cap yields 4 cm of spring-guided travel; resistance ramps smoothly, peaks with a crisp tactile “snap,” then rebounds instantly, inviting rapid, rhythmic taps. The cap’s surface is glossy polycarbonate: finger-pads glide effortlessly across its cool, glassy skin, and a light knock returns a hollow, plasticky clack, betraying an air gap beneath. The black base, molded from ABS with a satin micro-texture, feels slightly grippier and warmer to the touch, diffusing temperature changes more slowly than the cap. Both parts are rigid, resisting deformation under normal finger pressure; only the internal metal spring and plastic guide rails flex, storing elastic energy for the button’s return. Thermally, the plastics acclimate quickly to room conditions, so the first contact draws a whisper of heat from skin but stabilizes within seconds, leaving it neither chilling nor warming.","The stapler is a pocket-sized, two-bar lever about 8 cm long, 2 cm wide, and 2 cm thick at rest, forming a slim oblong that hinges open like a miniature book set on its spine; both bars are clad in off-white ABS whose satin skin feels dry, finely grained, and ever-so-slightly warm after a few seconds in hand. Its 60 g mass centers in the nose where a nickel-plated steel anvil and magazine lie, so the tool naturally tips forward unless fingers cradle the rear—this front-loaded inertia adds punch when the upper arm is pressed. Squeeze the top bar downward and a light spring yields with a crisp 1 cm travel, then snaps a staple through paper and folds it against the anvil, the action finishing with a metallic “clack” and a gentle rebound that parks the handle again. Edge seams are smoothed yet palpable to the nail; the underside is open, exposing a cool, mirror-bright steel bed whose hardness contrasts with the ABS’s mild flex under firm thumb pressure. Fresh from a desk drawer, metal surfaces feel cool while the plastic reaches room temperature quickly, never clammy.",15,15,6,Pressing the button to trigger critical actions,"Place index finger on the stapler’s top arm and press down until it clicks against the base, then release to feel spring return.",6,6,4,6,6,6,,,
