item_index,virtual_object,physical_object,property_type,ground_truth_rating,interaction_activity,utilization_method,ft_predicted_rating,ft_parse_success,base_4o_predicted_rating,base_4o_parse_success,base_mini_predicted_rating,base_mini_parse_success,ft_abs_error,base_4o_abs_error,base_mini_abs_error
129,Keyboard,Portable Stapler,Texture,6,VR players would press series of piano keys to generate musical notes.,"Press the stapler top halfway without firing staples, mirroring a per-key’s motion. ",6,True,2,True,5,True,0,4,1
130,Keyboard,Portable Stapler,Hardness,6,VR players would press series of piano keys to generate musical notes.,"Press the stapler top halfway without firing staples, mirroring a per-key’s motion. ",6,True,3,True,5,True,0,3,1
131,Keyboard,Portable Stapler,Temperature,5,VR players would press series of piano keys to generate musical notes.,"Press the stapler top halfway without firing staples, mirroring a per-key’s motion. ",6,True,4,True,5,True,1,1,0
132,Keyboard,Game Controller,Inertia,4,VR players would press series of piano keys to generate musical notes.,Use the ABXY face buttons as surrogate piano keys. ,5,True,2,True,4,True,1,2,0
133,Keyboard,Game Controller,Interactivity,5,VR players would press series of piano keys to generate musical notes.,Use the ABXY face buttons as surrogate piano keys. ,5,True,2,True,2,True,0,3,3
134,Keyboard,Game Controller,Outline,2,VR players would press series of piano keys to generate musical notes.,Use the ABXY face buttons as surrogate piano keys. ,2,True,2,True,2,True,0,0,0
135,Keyboard,Game Controller,Texture,5,VR players would press series of piano keys to generate musical notes.,Use the ABXY face buttons as surrogate piano keys. ,5,True,2,True,2,True,0,3,3
136,Keyboard,Game Controller,Hardness,5,VR players would press series of piano keys to generate musical notes.,Use the ABXY face buttons as surrogate piano keys. ,6,True,4,True,5,True,1,1,0
137,Keyboard,Game Controller,Temperature,4,VR players would press series of piano keys to generate musical notes.,Use the ABXY face buttons as surrogate piano keys. ,5,True,4,True,7,True,1,0,3
138,Keyboard,Stainless Steel Water Bottle,Inertia,2,VR players would press series of piano keys to generate musical notes.,Lay the bottle on its side and press the thin metal wall with fingertips.,2,True,2,True,2,True,0,0,0
139,Keyboard,Stainless Steel Water Bottle,Interactivity,2,VR players would press series of piano keys to generate musical notes.,Lay the bottle on its side and press the thin metal wall with fingertips.,2,True,1,True,1,True,0,1,1
140,Keyboard,Stainless Steel Water Bottle,Outline,3,VR players would press series of piano keys to generate musical notes.,Lay the bottle on its side and press the thin metal wall with fingertips.,2,True,1,True,1,True,1,2,2
141,Keyboard,Stainless Steel Water Bottle,Texture,3,VR players would press series of piano keys to generate musical notes.,Lay the bottle on its side and press the thin metal wall with fingertips.,2,True,1,True,1,True,1,2,2
142,Keyboard,Stainless Steel Water Bottle,Hardness,2,VR players would press series of piano keys to generate musical notes.,Lay the bottle on its side and press the thin metal wall with fingertips.,2,True,2,True,2,True,0,0,0
143,Keyboard,Stainless Steel Water Bottle,Temperature,5,VR players would press series of piano keys to generate musical notes.,Lay the bottle on its side and press the thin metal wall with fingertips.,4,True,2,True,2,True,1,3,3
144,Keyboard,Sewing Tape Measure,Inertia,5,VR players would press series of piano keys to generate musical notes.,Press the central retract button repeatedly; its short spring travel and audible click simulate the actuation and bottom-out of piano keys. ,6,True,2,True,5,True,1,3,0
145,Keyboard,Sewing Tape Measure,Interactivity,5,VR players would press series of piano keys to generate musical notes.,Press the central retract button repeatedly; its short spring travel and audible click simulate the actuation and bottom-out of piano keys. ,5,True,2,True,3,True,0,3,2
146,Keyboard,Sewing Tape Measure,Outline,1,VR players would press series of piano keys to generate musical notes.,Press the central retract button repeatedly; its short spring travel and audible click simulate the actuation and bottom-out of piano keys. ,5,True,2,True,1,True,4,1,0
147,Keyboard,Sewing Tape Measure,Texture,4,VR players would press series of piano keys to generate musical notes.,Press the central retract button repeatedly; its short spring travel and audible click simulate the actuation and bottom-out of piano keys. ,5,True,2,True,3,True,1,2,1
148,Keyboard,Sewing Tape Measure,Hardness,5,VR players would press series of piano keys to generate musical notes.,Press the central retract button repeatedly; its short spring travel and audible click simulate the actuation and bottom-out of piano keys. ,5,True,3,True,5,True,0,2,0
149,Keyboard,Sewing Tape Measure,Temperature,3,VR players would press series of piano keys to generate musical notes.,Press the central retract button repeatedly; its short spring travel and audible click simulate the actuation and bottom-out of piano keys. ,4,True,3,True,6,True,1,0,3
150,Party Balloon,Portable Stapler,Inertia,3,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,Flick the spring-loaded top cover—let it snap back to feel a gentle rebound reminiscent of a balloon snap.,4,True,2,True,2,True,1,1,1
151,Party Balloon,Portable Stapler,Interactivity,6,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,Flick the spring-loaded top cover—let it snap back to feel a gentle rebound reminiscent of a balloon snap.,5,True,2,True,2,True,1,4,4
152,Party Balloon,Portable Stapler,Outline,3,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,Flick the spring-loaded top cover—let it snap back to feel a gentle rebound reminiscent of a balloon snap.,2,True,2,True,1,True,1,1,2
153,Party Balloon,Portable Stapler,Texture,3,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,Flick the spring-loaded top cover—let it snap back to feel a gentle rebound reminiscent of a balloon snap.,3,True,2,True,1,True,0,1,2
154,Party Balloon,Portable Stapler,Hardness,2,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,Flick the spring-loaded top cover—let it snap back to feel a gentle rebound reminiscent of a balloon snap.,3,True,2,True,1,True,1,0,1
155,Party Balloon,Portable Stapler,Temperature,4,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,Flick the spring-loaded top cover—let it snap back to feel a gentle rebound reminiscent of a balloon snap.,4,True,2,True,6,True,0,2,2
156,Party Balloon,Game Controller,Inertia,5,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,"Flick either thumb-stick sideways and let it self-center; the spring return offers a smooth, low-force bounce like nudging a small balloon. ",5,True,3,True,5,True,0,2,0
157,Party Balloon,Game Controller,Interactivity,6,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,"Flick either thumb-stick sideways and let it self-center; the spring return offers a smooth, low-force bounce like nudging a small balloon. ",6,True,3,True,5,True,0,3,1
158,Party Balloon,Game Controller,Outline,3,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,"Flick either thumb-stick sideways and let it self-center; the spring return offers a smooth, low-force bounce like nudging a small balloon. ",2,True,2,True,1,True,1,1,2
159,Party Balloon,Game Controller,Texture,2,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,"Flick either thumb-stick sideways and let it self-center; the spring return offers a smooth, low-force bounce like nudging a small balloon. ",5,True,2,True,2,True,3,0,0
160,Party Balloon,Game Controller,Hardness,3,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,"Flick either thumb-stick sideways and let it self-center; the spring return offers a smooth, low-force bounce like nudging a small balloon. ",5,True,3,True,3,True,2,0,0
161,Party Balloon,Game Controller,Temperature,4,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,"Flick either thumb-stick sideways and let it self-center; the spring return offers a smooth, low-force bounce like nudging a small balloon. ",4,True,2,True,6,True,0,2,2
162,Party Balloon,Ergonomic Chair,Inertia,3,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,"Stand beside the chair and gently push its mesh backrest; the flexible mesh and rolling casters let it glide and spring, echoing a balloon’s slow float away after contact. ",3,True,2,True,2,True,0,1,1
163,Party Balloon,Ergonomic Chair,Interactivity,6,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,"Stand beside the chair and gently push its mesh backrest; the flexible mesh and rolling casters let it glide and spring, echoing a balloon’s slow float away after contact. ",5,True,3,True,2,True,1,3,4
164,Party Balloon,Ergonomic Chair,Outline,5,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,"Stand beside the chair and gently push its mesh backrest; the flexible mesh and rolling casters let it glide and spring, echoing a balloon’s slow float away after contact. ",2,True,1,True,1,True,3,4,4
165,Party Balloon,Ergonomic Chair,Texture,2,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,"Stand beside the chair and gently push its mesh backrest; the flexible mesh and rolling casters let it glide and spring, echoing a balloon’s slow float away after contact. ",4,True,2,True,1,True,2,0,1
166,Party Balloon,Ergonomic Chair,Hardness,5,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,"Stand beside the chair and gently push its mesh backrest; the flexible mesh and rolling casters let it glide and spring, echoing a balloon’s slow float away after contact. ",5,True,2,True,2,True,0,3,3
167,Party Balloon,Ergonomic Chair,Temperature,5,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,"Stand beside the chair and gently push its mesh backrest; the flexible mesh and rolling casters let it glide and spring, echoing a balloon’s slow float away after contact. ",5,True,2,True,5,True,0,3,0
168,Party Balloon,Mechanical Keyboard,Inertia,3,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,Gently tap an edge key with a quick flick. ,5,True,1,True,1,True,2,2,2
169,Party Balloon,Mechanical Keyboard,Interactivity,5,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,Gently tap an edge key with a quick flick. ,4,True,2,True,3,True,1,3,2
170,Party Balloon,Mechanical Keyboard,Outline,3,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,Gently tap an edge key with a quick flick. ,2,True,1,True,1,True,1,2,2
171,Party Balloon,Mechanical Keyboard,Texture,3,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,Gently tap an edge key with a quick flick. ,2,True,1,True,1,True,1,2,2
172,Party Balloon,Mechanical Keyboard,Hardness,3,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,Gently tap an edge key with a quick flick. ,2,True,1,True,1,True,1,2,2
173,Party Balloon,Mechanical Keyboard,Temperature,4,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,Gently tap an edge key with a quick flick. ,4,True,2,True,6,True,0,2,2
174,Party Balloon,Pillow,Inertia,3,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,"Give the plush shell a playful swat; its soft stuffing compresses and lags before rebounding, matching the squishy response of a balloon. ",5,True,3,True,2,True,2,0,1
175,Party Balloon,Pillow,Interactivity,5,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,"Give the plush shell a playful swat; its soft stuffing compresses and lags before rebounding, matching the squishy response of a balloon. ",6,True,3,True,5,True,1,2,0
176,Party Balloon,Pillow,Outline,6,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,"Give the plush shell a playful swat; its soft stuffing compresses and lags before rebounding, matching the squishy response of a balloon. ",5,True,2,True,2,True,1,4,4
177,Party Balloon,Pillow,Texture,2,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,"Give the plush shell a playful swat; its soft stuffing compresses and lags before rebounding, matching the squishy response of a balloon. ",5,True,2,True,2,True,3,0,0
178,Party Balloon,Pillow,Hardness,3,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,"Give the plush shell a playful swat; its soft stuffing compresses and lags before rebounding, matching the squishy response of a balloon. ",6,True,5,True,3,True,3,2,0
179,Party Balloon,Pillow,Temperature,4,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,"Give the plush shell a playful swat; its soft stuffing compresses and lags before rebounding, matching the squishy response of a balloon. ",5,True,3,True,3,True,1,1,1
180,Pot Plant,Sewing Tape Measure,Inertia,5,VR players would run their hands along the leaves for stress relief.,Run your fingers on the pile of pull-out tape.,5,True,2,True,3,True,0,3,2
181,Pot Plant,Sewing Tape Measure,Interactivity,3,VR players would run their hands along the leaves for stress relief.,Run your fingers on the pile of pull-out tape.,3,True,2,True,3,True,0,1,0
182,Pot Plant,Sewing Tape Measure,Outline,4,VR players would run their hands along the leaves for stress relief.,Run your fingers on the pile of pull-out tape.,2,True,2,True,2,True,2,2,2
183,Pot Plant,Sewing Tape Measure,Texture,4,VR players would run their hands along the leaves for stress relief.,Run your fingers on the pile of pull-out tape.,4,True,2,True,1,True,0,2,3
184,Pot Plant,Sewing Tape Measure,Hardness,5,VR players would run their hands along the leaves for stress relief.,Run your fingers on the pile of pull-out tape.,5,True,2,True,3,True,0,3,2
185,Pot Plant,Sewing Tape Measure,Temperature,3,VR players would run their hands along the leaves for stress relief.,Run your fingers on the pile of pull-out tape.,5,True,2,True,4,True,2,1,1
186,Pot Plant,Stainless Steel Water Bottle,Inertia,1,VR players would run their hands along the leaves for stress relief.,"Roll the bottle slowly between hands, feeling the matte texture and curved taper—mirrors the firm stalk and gentle curvature near a plant’s stem.  ",2,True,2,True,2,True,1,1,1
187,Pot Plant,Stainless Steel Water Bottle,Interactivity,1,VR players would run their hands along the leaves for stress relief.,"Roll the bottle slowly between hands, feeling the matte texture and curved taper—mirrors the firm stalk and gentle curvature near a plant’s stem.  ",2,True,2,True,2,True,1,1,1
188,Pot Plant,Stainless Steel Water Bottle,Outline,2,VR players would run their hands along the leaves for stress relief.,"Roll the bottle slowly between hands, feeling the matte texture and curved taper—mirrors the firm stalk and gentle curvature near a plant’s stem.  ",2,True,2,True,2,True,0,0,0
189,Pot Plant,Stainless Steel Water Bottle,Texture,2,VR players would run their hands along the leaves for stress relief.,"Roll the bottle slowly between hands, feeling the matte texture and curved taper—mirrors the firm stalk and gentle curvature near a plant’s stem.  ",2,True,2,True,3,True,0,0,1
190,Pot Plant,Stainless Steel Water Bottle,Hardness,1,VR players would run their hands along the leaves for stress relief.,"Roll the bottle slowly between hands, feeling the matte texture and curved taper—mirrors the firm stalk and gentle curvature near a plant’s stem.  ",1,True,2,True,1,True,0,1,0
191,Pot Plant,Stainless Steel Water Bottle,Temperature,3,VR players would run their hands along the leaves for stress relief.,"Roll the bottle slowly between hands, feeling the matte texture and curved taper—mirrors the firm stalk and gentle curvature near a plant’s stem.  ",2,True,2,True,3,True,1,1,0
192,Pot Plant,Game Controller,Inertia,2,VR players would run their hands along the leaves for stress relief.,Glide fingertips over the convex analog sticks and textured grips without pressing buttons; varying contours substitute for clusters of leaves under roaming touch.,2,True,2,True,3,True,0,0,1
193,Pot Plant,Game Controller,Interactivity,2,VR players would run their hands along the leaves for stress relief.,Glide fingertips over the convex analog sticks and textured grips without pressing buttons; varying contours substitute for clusters of leaves under roaming touch.,3,True,2,True,3,True,1,0,1
194,Pot Plant,Game Controller,Outline,2,VR players would run their hands along the leaves for stress relief.,Glide fingertips over the convex analog sticks and textured grips without pressing buttons; varying contours substitute for clusters of leaves under roaming touch.,2,True,2,True,2,True,0,0,0
195,Pot Plant,Game Controller,Texture,4,VR players would run their hands along the leaves for stress relief.,Glide fingertips over the convex analog sticks and textured grips without pressing buttons; varying contours substitute for clusters of leaves under roaming touch.,2,True,2,True,2,True,2,2,2
196,Pot Plant,Game Controller,Hardness,2,VR players would run their hands along the leaves for stress relief.,Glide fingertips over the convex analog sticks and textured grips without pressing buttons; varying contours substitute for clusters of leaves under roaming touch.,2,True,2,True,2,True,0,0,0
197,Pot Plant,Game Controller,Temperature,2,VR players would run their hands along the leaves for stress relief.,Glide fingertips over the convex analog sticks and textured grips without pressing buttons; varying contours substitute for clusters of leaves under roaming touch.,3,True,2,True,4,True,1,0,2
198,Pot Plant,Lay's,Inertia,5,VR players would run their hands along the leaves for stress relief.,Lightly crinkle and stroke the inflated bag surface; the air-filled crunch and soft give echo flexible leaves that rustle when touched.  ,5,True,2,True,4,True,0,3,1
199,Pot Plant,Lay's,Interactivity,5,VR players would run their hands along the leaves for stress relief.,Lightly crinkle and stroke the inflated bag surface; the air-filled crunch and soft give echo flexible leaves that rustle when touched.  ,5,True,3,True,3,True,0,2,2
200,Pot Plant,Lay's,Outline,3,VR players would run their hands along the leaves for stress relief.,Lightly crinkle and stroke the inflated bag surface; the air-filled crunch and soft give echo flexible leaves that rustle when touched.  ,5,True,2,True,2,True,2,1,1
201,Pot Plant,Lay's,Texture,5,VR players would run their hands along the leaves for stress relief.,Lightly crinkle and stroke the inflated bag surface; the air-filled crunch and soft give echo flexible leaves that rustle when touched.  ,5,True,3,True,2,True,0,2,3
202,Pot Plant,Lay's,Hardness,5,VR players would run their hands along the leaves for stress relief.,Lightly crinkle and stroke the inflated bag surface; the air-filled crunch and soft give echo flexible leaves that rustle when touched.  ,5,True,4,True,2,True,0,1,3
203,Pot Plant,Lay's,Temperature,3,VR players would run their hands along the leaves for stress relief.,Lightly crinkle and stroke the inflated bag surface; the air-filled crunch and soft give echo flexible leaves that rustle when touched.  ,5,True,3,True,4,True,2,0,1
204,Pot Plant,Ergonomic Chair,Inertia,4,VR players would run their hands along the leaves for stress relief.,"Stand beside chair and pass hands over the mesh backrest; the tensioned fabric yields slightly then springs back, similar to flexible foliage surfaces. ",5,True,3,True,4,True,1,1,0
205,Pot Plant,Ergonomic Chair,Interactivity,4,VR players would run their hands along the leaves for stress relief.,"Stand beside chair and pass hands over the mesh backrest; the tensioned fabric yields slightly then springs back, similar to flexible foliage surfaces. ",5,True,3,True,4,True,1,1,0
206,Pot Plant,Ergonomic Chair,Outline,2,VR players would run their hands along the leaves for stress relief.,"Stand beside chair and pass hands over the mesh backrest; the tensioned fabric yields slightly then springs back, similar to flexible foliage surfaces. ",4,True,2,True,2,True,2,0,0
207,Pot Plant,Ergonomic Chair,Texture,4,VR players would run their hands along the leaves for stress relief.,"Stand beside chair and pass hands over the mesh backrest; the tensioned fabric yields slightly then springs back, similar to flexible foliage surfaces. ",5,True,3,True,3,True,1,1,1
208,Pot Plant,Ergonomic Chair,Hardness,4,VR players would run their hands along the leaves for stress relief.,"Stand beside chair and pass hands over the mesh backrest; the tensioned fabric yields slightly then springs back, similar to flexible foliage surfaces. ",5,True,5,True,5,True,1,1,1
209,Pot Plant,Ergonomic Chair,Temperature,3,VR players would run their hands along the leaves for stress relief.,"Stand beside chair and pass hands over the mesh backrest; the tensioned fabric yields slightly then springs back, similar to flexible foliage surfaces. ",5,True,3,True,5,True,2,0,2
210,Red Button,Ergonomic Chair,Inertia,2,Pressing the button to trigger critical actions,Simply jab the padded armrest top.,2,True,2,True,1,True,0,0,1
211,Red Button,Ergonomic Chair,Interactivity,2,Pressing the button to trigger critical actions,Simply jab the padded armrest top.,4,True,1,True,1,True,2,1,1
212,Red Button,Ergonomic Chair,Outline,4,Pressing the button to trigger critical actions,Simply jab the padded armrest top.,2,True,1,True,1,True,2,3,3
213,Red Button,Ergonomic Chair,Texture,3,Pressing the button to trigger critical actions,Simply jab the padded armrest top.,3,True,2,True,2,True,0,1,1
214,Red Button,Ergonomic Chair,Hardness,3,Pressing the button to trigger critical actions,Simply jab the padded armrest top.,3,True,2,True,1,True,0,1,2
215,Red Button,Ergonomic Chair,Temperature,4,Pressing the button to trigger critical actions,Simply jab the padded armrest top.,3,True,2,True,4,True,1,2,0
216,Red Button,Pillow,Inertia,6,Pressing the button to trigger critical actions,Push finger or whole palm into the plush’s top; stuffing compresses and springs back.,2,True,2,True,2,True,4,4,4
217,Red Button,Pillow,Interactivity,5,Pressing the button to trigger critical actions,Push finger or whole palm into the plush’s top; stuffing compresses and springs back.,5,True,2,True,2,True,0,3,3
218,Red Button,Pillow,Outline,4,Pressing the button to trigger critical actions,Push finger or whole palm into the plush’s top; stuffing compresses and springs back.,3,True,2,True,2,True,1,2,2
219,Red Button,Pillow,Texture,2,Pressing the button to trigger critical actions,Push finger or whole palm into the plush’s top; stuffing compresses and springs back.,2,True,1,True,1,True,0,1,1
220,Red Button,Pillow,Hardness,4,Pressing the button to trigger critical actions,Push finger or whole palm into the plush’s top; stuffing compresses and springs back.,2,True,1,True,1,True,2,3,3
221,Red Button,Pillow,Temperature,4,Pressing the button to trigger critical actions,Push finger or whole palm into the plush’s top; stuffing compresses and springs back.,2,True,2,True,2,True,2,2,2
222,Red Button,Mechanical Keyboard,Inertia,5,Pressing the button to trigger critical actions,Use any single key as the proxy: rest finger and deliver a sharp downward press.,5,True,5,True,4,True,0,0,1
223,Red Button,Mechanical Keyboard,Interactivity,6,Pressing the button to trigger critical actions,Use any single key as the proxy: rest finger and deliver a sharp downward press.,6,True,6,True,6,True,0,0,0
224,Red Button,Mechanical Keyboard,Outline,3,Pressing the button to trigger critical actions,Use any single key as the proxy: rest finger and deliver a sharp downward press.,5,True,3,True,2,True,2,0,1
225,Red Button,Mechanical Keyboard,Texture,6,Pressing the button to trigger critical actions,Use any single key as the proxy: rest finger and deliver a sharp downward press.,5,True,3,True,5,True,1,3,1
226,Red Button,Mechanical Keyboard,Hardness,6,Pressing the button to trigger critical actions,Use any single key as the proxy: rest finger and deliver a sharp downward press.,6,True,6,True,6,True,0,0,0
227,Red Button,Mechanical Keyboard,Temperature,6,Pressing the button to trigger critical actions,Use any single key as the proxy: rest finger and deliver a sharp downward press.,5,True,4,True,6,True,1,2,0
228,Red Button,Sewing Tape Measure,Inertia,6,Pressing the button to trigger critical actions,Use the small circular center button that rewinds the tape.,5,True,3,True,4,True,1,3,2
229,Red Button,Sewing Tape Measure,Interactivity,5,Pressing the button to trigger critical actions,Use the small circular center button that rewinds the tape.,6,True,3,True,5,True,1,2,0
230,Red Button,Sewing Tape Measure,Outline,4,Pressing the button to trigger critical actions,Use the small circular center button that rewinds the tape.,6,True,3,True,5,True,2,1,1
231,Red Button,Sewing Tape Measure,Texture,6,Pressing the button to trigger critical actions,Use the small circular center button that rewinds the tape.,6,True,3,True,5,True,0,3,1
232,Red Button,Sewing Tape Measure,Hardness,6,Pressing the button to trigger critical actions,Use the small circular center button that rewinds the tape.,5,True,3,True,5,True,1,3,1
233,Red Button,Sewing Tape Measure,Temperature,6,Pressing the button to trigger critical actions,Use the small circular center button that rewinds the tape.,5,True,4,True,6,True,1,2,0
234,Red Button,Game Controller,Inertia,4,Pressing the button to trigger critical actions,"Use the large A button: press firmly until the membrane switch actuates with a tactile bump and faint click, then release for spring return.",5,True,5,True,6,True,1,1,2
235,Red Button,Game Controller,Interactivity,6,Pressing the button to trigger critical actions,"Use the large A button: press firmly until the membrane switch actuates with a tactile bump and faint click, then release for spring return.",6,True,6,True,6,True,0,0,0
236,Red Button,Game Controller,Outline,3,Pressing the button to trigger critical actions,"Use the large A button: press firmly until the membrane switch actuates with a tactile bump and faint click, then release for spring return.",5,True,3,True,6,True,2,0,3
237,Red Button,Game Controller,Texture,5,Pressing the button to trigger critical actions,"Use the large A button: press firmly until the membrane switch actuates with a tactile bump and faint click, then release for spring return.",6,True,5,True,6,True,1,0,1
238,Red Button,Game Controller,Hardness,6,Pressing the button to trigger critical actions,"Use the large A button: press firmly until the membrane switch actuates with a tactile bump and faint click, then release for spring return.",6,True,6,True,6,True,0,0,0
239,Red Button,Game Controller,Temperature,5,Pressing the button to trigger critical actions,"Use the large A button: press firmly until the membrane switch actuates with a tactile bump and faint click, then release for spring return.",5,True,4,True,6,True,0,1,1
240,Soccer,Mechanical Keyboard,Inertia,3,This soccer ball would be used for training exercises. VR players would primarily kick the ball for practicing penalties,You can lightly tap the space bar or a row of keys with the tip of the shoe to mimic instant force transfer and thump of a kick. ,2,True,1,True,1,True,1,2,2
241,Soccer,Mechanical Keyboard,Interactivity,3,This soccer ball would be used for training exercises. VR players would primarily kick the ball for practicing penalties,You can lightly tap the space bar or a row of keys with the tip of the shoe to mimic instant force transfer and thump of a kick. ,2,True,1,True,2,True,1,2,1
242,Soccer,Mechanical Keyboard,Outline,3,This soccer ball would be used for training exercises. VR players would primarily kick the ball for practicing penalties,You can lightly tap the space bar or a row of keys with the tip of the shoe to mimic instant force transfer and thump of a kick. ,2,True,1,True,1,True,1,2,2
243,Soccer,Mechanical Keyboard,Texture,3,This soccer ball would be used for training exercises. VR players would primarily kick the ball for practicing penalties,You can lightly tap the space bar or a row of keys with the tip of the shoe to mimic instant force transfer and thump of a kick. ,2,True,1,True,1,True,1,2,2
244,Soccer,Mechanical Keyboard,Hardness,4,This soccer ball would be used for training exercises. VR players would primarily kick the ball for practicing penalties,You can lightly tap the space bar or a row of keys with the tip of the shoe to mimic instant force transfer and thump of a kick. ,3,True,2,True,1,True,1,2,3
245,Soccer,Mechanical Keyboard,Temperature,4,This soccer ball would be used for training exercises. VR players would primarily kick the ball for practicing penalties,You can lightly tap the space bar or a row of keys with the tip of the shoe to mimic instant force transfer and thump of a kick. ,4,True,2,True,4,True,0,2,0
246,Soccer,Selfie-stick,Inertia,2,This soccer ball would be used for training exercises. VR players would primarily kick the ball for practicing penalties,"Fold legs together to form a short cylinder, then roll it with a foot tap.",3,True,1,True,2,True,1,1,0
247,Soccer,Selfie-stick,Interactivity,3,This soccer ball would be used for training exercises. VR players would primarily kick the ball for practicing penalties,"Fold legs together to form a short cylinder, then roll it with a foot tap.",3,True,1,True,2,True,0,2,1
248,Soccer,Selfie-stick,Outline,2,This soccer ball would be used for training exercises. VR players would primarily kick the ball for practicing penalties,"Fold legs together to form a short cylinder, then roll it with a foot tap.",2,True,1,True,1,True,0,1,1
249,Soccer,Selfie-stick,Texture,3,This soccer ball would be used for training exercises. VR players would primarily kick the ball for practicing penalties,"Fold legs together to form a short cylinder, then roll it with a foot tap.",2,True,1,True,1,True,1,2,2
250,Soccer,Selfie-stick,Hardness,2,This soccer ball would be used for training exercises. VR players would primarily kick the ball for practicing penalties,"Fold legs together to form a short cylinder, then roll it with a foot tap.",3,True,2,True,1,True,1,0,1
251,Soccer,Selfie-stick,Temperature,4,This soccer ball would be used for training exercises. VR players would primarily kick the ball for practicing penalties,"Fold legs together to form a short cylinder, then roll it with a foot tap.",4,True,3,True,2,True,0,1,2
252,Soccer,Portable Stapler,Inertia,3,This soccer ball would be used for training exercises. VR players would primarily kick the ball for practicing penalties,Press the stapler’s top down with the sole like trapping a ball; the springy resistance and click replicate planting your foot to stop a rolling soccer ball. ,2,True,1,True,1,True,1,2,2
253,Soccer,Portable Stapler,Interactivity,5,This soccer ball would be used for training exercises. VR players would primarily kick the ball for practicing penalties,Press the stapler’s top down with the sole like trapping a ball; the springy resistance and click replicate planting your foot to stop a rolling soccer ball. ,3,True,2,True,2,True,2,3,3
254,Soccer,Portable Stapler,Outline,3,This soccer ball would be used for training exercises. VR players would primarily kick the ball for practicing penalties,Press the stapler’s top down with the sole like trapping a ball; the springy resistance and click replicate planting your foot to stop a rolling soccer ball. ,1,True,1,True,1,True,2,2,2
255,Soccer,Portable Stapler,Texture,4,This soccer ball would be used for training exercises. VR players would primarily kick the ball for practicing penalties,Press the stapler’s top down with the sole like trapping a ball; the springy resistance and click replicate planting your foot to stop a rolling soccer ball. ,3,True,1,True,1,True,1,3,3
256,Soccer,Portable Stapler,Hardness,5,This soccer ball would be used for training exercises. VR players would primarily kick the ball for practicing penalties,Press the stapler’s top down with the sole like trapping a ball; the springy resistance and click replicate planting your foot to stop a rolling soccer ball. ,5,True,2,True,2,True,0,3,3
257,Soccer,Portable Stapler,Temperature,4,This soccer ball would be used for training exercises. VR players would primarily kick the ball for practicing penalties,Press the stapler’s top down with the sole like trapping a ball; the springy resistance and click replicate planting your foot to stop a rolling soccer ball. ,4,True,2,True,6,True,0,2,2
